
instance time incumbent bks
==========Running script at 2025-12-18 20:49:26==========
tai100b 97.89 1252777990.0 1185996137 0.0563
tai12a 2.97 224416.0 224416 0.0000
tai12b 2.97 39925019.0 39464925 0.0117
tai150b 255.14 513946892.0 498896643 0.0302
tai15a 3.43 389718.0 388214 0.0039
tai15b 3.42 51958141.0 51765268 0.0037
tai17a 4.70 491812.0 491812 0.0000
tai20a 5.56 709080.0 703482 0.0080
tai20b 5.54 123715743.0 122455319 0.0103
tai256c 912.66 44975848.0 44759294 0.0048
tai25a 7.57 1172026.0 1167256 0.0041
tai25b 7.57 350958367.0 344355646 0.0192
tai30a 9.52 1853648.0 1818146 0.0195
tai30b 9.53 641546392.0 637117113 0.0070
tai35a 18.59 2474764.0 2422002 0.0218
tai35b 18.50 289483566.0 283315445 0.0218
tai40a 21.94 3211010.0 3139370 0.0228
tai40b 21.93 649220143.0 637250948 0.0188
tai50a 35.99 5082662.0 4938796 0.0291
tai50b 36.01 465128346.0 458821517 0.0137
tai60a 49.43 7425700.0 7205962 0.0305
tai60b 49.45 621994932.0 608215054 0.0227
tai64c 54.90 1855928.0 1855928 0.0000
tai80a 56.36 13944416.0 13499184 0.0330
tai80b 112.22 860761803.0 818415043 0.0517
tho150 255.06 8380038.0 8133398 0.0303
tho30 9.52 153278.0 149936 0.0223
tho40 21.93 248484.0 240516 0.0331
wil100 97.96 277562.0 273038 0.0166
wil50 36.00 49474.0 48816 0.0135
==========Running script at 2025-12-21 12:23:34, seed 42, iters 2000, batch_size 2000, optimizer adam==========
bur26a 7.83 5526274.0 5426670 0.0184
bur26b 7.83 3883959.0 3817852 0.0173
bur26c 7.82 5536163.0 5426795 0.0202
bur26d 7.83 3884175.0 3821225 0.0165
bur26e 7.85 5488898.0 5386879 0.0189
bur26f 7.83 3856128.0 3782044 0.0196
bur26g 7.82 10281957.0 10117172 0.0163
bur26h 7.83 7218011.0 7098658 0.0168
chr12a 2.96 9552.0 9552 0.0000
chr12b 2.95 9762.0 9742 0.0021
chr12c 2.98 11156.0 11156 0.0000
chr15a 3.40 10120.0 9896 0.0226
chr15b 3.41 9616.0 7990 0.2035
chr15c 3.40 9940.0 9504 0.0459
chr18a 4.90 11588.0 11098 0.0442
chr18b 4.90 1534.0 1534 0.0000
chr20a 5.55 2518.0 2192 0.1487
chr20b 5.54 2484.0 2298 0.0809
chr20c 5.54 16232.0 14142 0.1478
chr22a 6.06 6860.0 6156 0.1144
chr22b 6.07 6854.0 6194 0.1066
chr25a 7.56 4920.0 3796 0.2961
els19 5.32 19687736.0 17212548 0.1438
esc128 154.63 64.0 64 0.0000
esc16a 3.67 72.0 68 0.0588
esc16b 3.68 292.0 292 0.0000
esc16c 3.67 160.0 160 0.0000
esc16d 3.68 16.0 16 0.0000
esc16e 3.68 28.0 28 0.0000
esc16g 3.68 26.0 26 0.0000
esc16h 3.67 996.0 996 0.0000
esc16i 3.68 14.0 14 0.0000
esc16j 3.68 8.0 8 0.0000
esc32e 10.84 2.0 2 0.0000
esc32g 10.86 6.0 6 0.0000
had12 2.97 1680.0 1652 0.0169
had14 3.23 2770.0 2724 0.0169
had16 3.68 3754.0 3720 0.0091
had18 4.88 5424.0 5358 0.0123
had20 5.54 7008.0 6922 0.0124
kra30a 9.49 92200.0 88900 0.0371
kra30b 9.49 93420.0 91420 0.0219
kra32 10.84 91750.0 88900 0.0321
lipa20a 5.54 3842.0 3683 0.0432
lipa20b 5.54 27076.0 27076 0.0000
lipa30a 9.50 13598.0 13178 0.0319
lipa30b 9.49 151426.0 151426 0.0000
lipa40a 21.65 32354.0 31538 0.0259
lipa40b 21.64 476581.0 476581 0.0000
lipa50a 35.43 63522.0 62093 0.0230
lipa50b 35.43 1210244.0 1210244 0.0000
lipa60a 48.66 109353.0 107218 0.0199
lipa60b 48.72 2520135.0 2520135 0.0000
lipa70a 84.62 172661.0 169755 0.0171
lipa70b 84.64 5631656.0 4603200 0.2234
lipa80a 111.04 257291.0 253195 0.0162
lipa80b 111.02 9602676.0 7763962 0.2368
lipa90a 145.30 365944.0 360630 0.0147
lipa90b 145.38 15479317.0 12490441 0.2393
nug12 2.95 582.0 578 0.0069
nug14 3.22 1014.0 1014 0.0000
nug15 3.41 1150.0 1150 0.0000
nug16a 3.68 1610.0 1610 0.0000
nug16b 3.68 1240.0 1240 0.0000
nug17 4.70 1742.0 1732 0.0058
nug18 4.89 1960.0 1930 0.0155
nug20 5.56 2594.0 2570 0.0093
nug21 5.84 2460.0 2438 0.0090
nug22 6.07 3670.0 3596 0.0206
nug24 7.04 3560.0 3488 0.0206
nug25 7.55 3760.0 3744 0.0043
nug27 8.29 5294.0 5234 0.0115
nug28 8.56 5304.0 5166 0.0267
nug30 9.52 6240.0 6124 0.0189
rou12 2.97 235528.0 235528 0.0000
rou15 3.41 354210.0 354210 0.0000
rou20 5.54 736414.0 725522 0.0150
scr12 2.96 31410.0 31410 0.0000
scr15 3.41 51140.0 51140 0.0000
scr20 5.55 112286.0 110030 0.0205
sko100a 96.88 158346.0 152002 0.0417
sko100b 97.02 160218.0 153890 0.0411
sko100c 97.00 153798.0 147862 0.0401
sko100d 97.09 155650.0 149576 0.0406
sko100e 97.09 155444.0 149150 0.0422
sko100f 97.02 155074.0 149036 0.0405
sko42 23.33 16134.0 15812 0.0204
sko49 34.15 23864.0 23386 0.0204
sko56 41.23 35402.0 34458 0.0274
sko64 54.20 49692.0 48498 0.0246
sko72 90.68 67932.0 66256 0.0253
sko81 119.53 93192.0 90998 0.0241
sko90 145.78 118852.0 115534 0.0287
ste36b 18.96 17616.0 15852 0.1113
ste36c 18.96 8746548.0 8239110 0.0616
tai100a 96.99 22806806.0 21052466 0.0833
tai100b 97.02 1275762572.0 1185996137 0.0757
tai12a 2.96 224416.0 224416 0.0000
tai12b 2.97 40818454.0 39464925 0.0343
tai150b 252.95 521380074.0 498896643 0.0451
