# Time(s) ObjectiveValue
16.272287 53850.000000
16.272424 53844.000000
16.272561 53840.000000
16.273377 53830.000000
16.687285 53810.000000
16.687423 53740.000000
16.687559 53672.000000
16.687701 53610.000000
16.687838 53562.000000
16.687975 53518.000000
16.688114 53486.000000
16.688253 53458.000000
16.688390 53436.000000
16.688527 53420.000000
16.688666 53410.000000
16.688804 53402.000000
16.688939 53398.000000
16.689079 53394.000000
18.117860 53386.000000
18.118000 53310.000000
18.118138 53238.000000
18.118276 53194.000000
18.118416 53150.000000
18.118556 53118.000000
18.118694 53080.000000
18.118830 53050.000000
18.118967 53022.000000
18.119103 52994.000000
18.119241 52970.000000
18.119379 52946.000000
18.119518 52924.000000
18.119656 52908.000000
18.119791 52896.000000
18.119927 52884.000000
18.120067 52868.000000
18.120204 52862.000000
50.257196 52824.000000
50.257358 52776.000000
50.257495 52746.000000
50.257637 52728.000000
50.257776 52710.000000
50.257913 52696.000000
50.258052 52686.000000
50.258192 52682.000000
50.258329 52680.000000
94.600973 52662.000000
94.601129 52628.000000
94.601265 52610.000000
94.601403 52594.000000
94.601542 52580.000000
94.601679 52556.000000
94.601816 52544.000000
94.601962 52532.000000
94.602099 52526.000000
94.602236 52512.000000
117.582146 52486.000000
117.582306 52422.000000
117.582447 52382.000000
117.582589 52358.000000
117.582730 52346.000000
117.582867 52298.000000
117.583005 52290.000000
117.583142 52286.000000
182.368685 52278.000000
182.368844 52272.000000
182.368987 52268.000000
182.369135 52264.000000
385.032083 52256.000000
385.032255 52244.000000
600.000079 52244.000000
